date,operator,draw_no,1st,2nd,3rd,special,consolation
1986-02-23,Magnum 4D,024/86,3267,5821,7249,"1383,1993,9172,1726,0573,3651,8183,8474,4274,8471","0780,4079,4174,4900,0212,0475,9775,3468,4064,8831"
1986-02-27,Magnum 4D,025/86,7472,3455,4725,"3555,0052,9989,9091,5183,7479,5227,7719,7150,1086","3024,8847,2314,4374,2485,2417,9933,1916,4710,2707"
1986-03-01,Magnum 4D,026/86,8546,7676,1904,"1485,0805,7629,1899,6242,4352,6275,2678,3188,2246","8125,9705,9064,2458,0603,4735,2635,2094,0965,0307"
1986-03-02,Magnum 4D,027/86,9264,4821,5544,"9680,9976,9380,6519,4704,7716,4393,7314,4034,3644","3325,5485,9822,2545,6219,1966,1327,6871,4094,8749"
1986-03-06,Magnum 4D,028/86,8885,6277,0314,"6825,1149,3179,7225,9638,1690,3658,9405,5289,7178","3284,6853,9115,7119,4887,9892,8082,4962,5361,6116"
1986-03-08,Magnum 4D,029/86,4746,0646,9070,"6471,7742,6013,7293,0517,4062,6299,5688,8095,7418","1702,0213,4648,4720,4853,4963,7239,8015,4301,0274"
1986-03-09,Magnum 4D,030/86,4786,8067,1993,"5288,3598,2254,5351,8069,5216,9633,6276,9984,8601","8364,2132,7982,8707,8152,3652,8976,5447,9746,9894"
1986-03-13,Magnum 4D,031/86,1778,5925,7176,"4131,2457,9556,9953,4289,1196,7897,2644,7496,1845","6119,0767,2633,5984,3339,6093,3394,3689,8885,4573"
1986-03-15,Magnum 4D,032/86,5590,2167,8306,"1531,7080,4961,0703,5414,0968,2329,3600,7748,8450","3030,3004,5359,0987,5028,7049,2587,4465,1962,7563"
1986-03-16,Magnum 4D,033/86,9393,3824,4294,"6303,7815,3069,4338,5387,5355,0767,5402,2856,1571","3158,4016,4746,0920,3270,0594,3851,8891,5050,0451"
1986-03-20,Magnum 4D,034/86,0340,6587,4239,"9958,8610,2471,2970,7163,5594,8896,8520,6503,5056","0733,9315,0777,0316,2299,5419,9128,1474,4981,4118"
1986-03-22,Magnum 4D,035/86,3793,7521,7658,"2532,6743,2492,0276,2398,1264,6823,9690,9374,5250","4437,0083,9172,8259,9038,8271,3735,7097,4735,8988"
1986-03-23,Magnum 4D,036/86,2532,7043,5766,"1548,9539,6413,2209,2690,5898,5119,7035,0863,6340","8750,6736,0774,2470,8670,7444,4830,7926,8500,6011"
1986-03-25,Magnum 4D,901/86,5379,0480,2088,"5703,8375,8749,3574,3930,0400,7759,1904,9305,0773","3174,9175,8656,5367,3439,9940,1506,2425,8277,4847"
1986-03-27,Magnum 4D,037/86,3395,4936,8673,"6748,0112,8283,6863,6502,7167,6706,8665,4199,3116","2244,8332,3378,2429,0922,8446,8720,0847,7715,1613"
1986-03-29,Magnum 4D,038/86,8450,3065,3081,"3004,6154,7654,6344,5451,7417,3919,6963,0154,4070","2294,9425,0478,8793,8838,6341,2309,9076,3534,8186"
